,gain,split
rolling_mean_8w,115346.15965330601,332
expanding_mean,41239.86048734188,570
lag_1_4_mean,27467.09660232067,192
rolling_mean_4w,9172.336898326874,25
rolling_mean_13w,6344.697537302971,178
ramadan_days_in_week,4172.921622037888,203
section_lag_1w,2979.203649520874,524
section_rolling_4w,2798.5082470178604,515
woy_sin,2696.133135676384,347
week_of_year,2668.7059638500214,321
ramadan_x_cafe,2348.7069289684296,122
total_lag_1w,1868.8142471313477,320
woy_cos,1786.2245327234268,220
total_rolling_4w,1741.478833079338,252
n_holidays_in_week,1589.701556444168,135
demand_momentum,1356.7063686847687,311
rolling_min_4w,1164.8909834623337,83
month_cos,1091.024958372116,104
rolling_cv_4w,1078.74893784523,248
item_share_of_section,1075.7534329891205,186
month,1053.675087928772,108
rolling_std_8w,984.6100587844849,226
avg_price,951.1035712957382,175
rolling_std_4w,922.1015080213547,218
month_cos_x_cafe,895.6044769287109,93
ramadan_x_healthyvegan,835.7611889839172,69
category_encoded,781.4968113899231,134
lag_1_2_ratio,730.8735693693161,183
lag_3w,722.8015713691711,139
lag2w_x_mexican,640.7490204572678,90
month_cos_x_mexican,578.4377517700195,91
section_encoded,548.976793050766,68
month_cos_x_american,540.374772310257,86
month_sin_x_cafe,524.7566885948181,50
rolling_max_4w,430.3092111349106,69
month_cos_x_italian,425.9903197288513,87
lag_4w,418.9744099378586,97
is_pre_ramadan,401.23322999477386,72
lag_1w,399.89214050769806,69
lag1w_x_cafe,377.1987271308899,44
lag_2w,371.3231313228607,83
lag2w_x_cafe,361.6225411891937,59
lag_8w,347.6369698047638,95
month_cos_x_japanese,331.76242899894714,61
month_sin,281.121209859848,38
lag_1_2_diff,271.2751998901367,71
month_cos_x_steakhouse,253.98294878005981,42
month_sin_x_steakhouse,222.47880959510803,51
lag2w_x_american,214.21067929267883,26
year,213.7909288406372,40
is_ramadan_week,178.95656943321228,19
month_sin_x_mexican,163.88377916812897,32
month_sin_x_healthy_vegan,150.3187586069107,37
lag2w_x_italian,150.21554017066956,33
lag1w_x_japanese,136.50446033477783,36
month_sin_x_japanese,135.89800930023193,33
lag2w_x_steakhouse,135.52041935920715,28
month_sin_x_american,134.14452028274536,28
is_post_ramadan,132.09221982955933,12
lag1w_x_american,121.75824999809265,25
month_cos_x_healthy_vegan,118.9285591840744,28
lag1w_x_healthyvegan,113.28402948379517,21
lag1w_x_italian,108.92830049991608,25
lag1w_x_mexican,105.69951033592224,25
month_sin_x_italian,94.79625010490417,17
lag2w_x_healthyvegan,92.09569025039673,18
lag1w_x_steakhouse,90.23513054847717,16
lag2w_x_japanese,71.33112001419067,17
holiday_type_encoded,61.98341965675354,16
has_holiday,55.28081035614014,12
holiday_x_main,40.493770122528076,7
quarter,38.620830059051514,3
ramadan_x_italian,36.473830223083496,7
ramadan_x_american,19.74901032447815,3
holiday_x_side,17.299070358276367,5
ramadan_x_mexican,8.499579906463623,2
holiday_x_dessert,7.315810203552246,2
holiday_x_appetizer,3.702130079269409,1
holiday_x_alcohol,0.0,0
ramadan_x_steakhouse,0.0,0
holiday_x_bakery,0.0,0
holiday_x_beverage,0.0,0
ramadan_x_japanese,0.0,0
holiday_x_food,0.0,0
