,gain,weight,cover
rolling_mean_8w,247.333740234375,458.0,37341.3125
rolling_mean_4w,228.5376434326172,64.0,40262.82421875
lag_1_4_mean,71.22677612304688,352.0,33195.19140625
expanding_mean,56.023475646972656,720.0,47985.421875
rolling_mean_13w,28.458864212036133,311.0,21705.9453125
ramadan_x_cafe,16.425418853759766,124.0,35802.71484375
ramadan_days_in_week,16.389318466186523,241.0,38565.73046875
is_ramadan_week,14.582950592041016,36.0,50382.87890625
n_holidays_in_week,9.201000213623047,184.0,29662.2578125
month_cos_x_cafe,8.938302993774414,79.0,22953.060546875
ramadan_x_healthyvegan,8.10004997253418,67.0,41408.265625
section_encoded,7.806700706481934,69.0,6879.2783203125
month_sin_x_cafe,7.412908554077148,52.0,20057.365234375
woy_cos,7.200521945953369,269.0,24479.421875
month_cos,6.806731224060059,139.0,24546.392578125
ramadan_x_mexican,6.61794900894165,5.0,1767.198974609375
woy_sin,6.514909744262695,428.0,29544.833984375
rolling_min_4w,6.1944475173950195,130.0,24883.716796875
lag1w_x_cafe,6.189571380615234,93.0,10474.0830078125
week_of_year,6.105101585388184,490.0,19076.361328125
lag2w_x_cafe,5.97805643081665,78.0,12227.2294921875
is_pre_ramadan,5.829104423522949,73.0,42800.5703125
total_rolling_4w,5.800668239593506,287.0,13490.521484375
month_cos_x_mexican,5.641862869262695,107.0,18266.298828125
lag2w_x_american,5.605426788330078,59.0,9224.2373046875
lag2w_x_mexican,5.564270496368408,126.0,18041.5
is_post_ramadan,5.411064624786377,16.0,27046.55859375
ramadan_x_american,5.40106201171875,13.0,1787.564697265625
lag2w_x_steakhouse,4.855570316314697,54.0,19403.15234375
month_cos_x_american,4.807969093322754,52.0,33342.2265625
section_rolling_4w,4.80564546585083,462.0,25244.884765625
rolling_max_4w,4.67655611038208,109.0,19927.3984375
category_encoded,4.655206680297852,177.0,12060.0009765625
quarter,4.608551502227783,3.0,13031.2060546875
section_lag_1w,4.539449214935303,583.0,29460.37109375
total_lag_1w,4.537492752075195,378.0,12795.306640625
has_holiday,4.449279308319092,10.0,37072.609375
month_cos_x_steakhouse,4.439072608947754,59.0,30139.375
lag1w_x_american,4.418618202209473,44.0,4224.7451171875
month_cos_x_italian,4.326041221618652,83.0,37111.00390625
month_sin_x_steakhouse,4.326022624969482,49.0,41875.58984375
lag1w_x_mexican,4.32307243347168,43.0,8335.3056640625
month_sin_x_mexican,4.280058860778809,45.0,32675.119140625
month_sin_x_italian,4.269107341766357,24.0,12109.6728515625
month_cos_x_japanese,4.170408248901367,78.0,23798.57421875
month,4.102705955505371,268.0,12379.3271484375
month_sin_x_american,4.083852291107178,36.0,30014.68359375
lag1w_x_healthyvegan,3.9444494247436523,48.0,18102.5859375
month_sin_x_healthy_vegan,3.8917880058288574,60.0,22393.63671875
holiday_x_beverage,3.77437686920166,17.0,6268.54443359375
month_sin_x_japanese,3.7653427124023438,44.0,17938.673828125
item_share_of_section,3.736907958984375,343.0,16020.5673828125
lag1w_x_steakhouse,3.7200605869293213,52.0,10943.7431640625
month_cos_x_healthy_vegan,3.698993682861328,20.0,66483.4296875
lag2w_x_italian,3.6333889961242676,68.0,10166.9853515625
lag1w_x_japanese,3.5728020668029785,70.0,23342.1171875
lag1w_x_italian,3.5312678813934326,53.0,15241.4482421875
holiday_type_encoded,3.434617280960083,25.0,16243.380859375
lag2w_x_japanese,3.423567295074463,46.0,6683.88525390625
lag2w_x_healthyvegan,3.3950815200805664,43.0,15636.8544921875
month_sin,3.37075138092041,65.0,6146.048828125
holiday_x_alcohol,3.2794713973999023,8.0,4374.5390625
demand_momentum,3.131164312362671,532.0,6963.275390625
holiday_x_side,3.1115658283233643,35.0,3330.47705078125
ramadan_x_steakhouse,3.01265811920166,2.0,1899.143310546875
rolling_cv_4w,2.970935583114624,323.0,6801.607421875
holiday_x_main,2.957695960998535,29.0,31077.556640625
rolling_std_8w,2.9128072261810303,420.0,3631.901123046875
holiday_x_appetizer,2.9087772369384766,9.0,28813.59375
lag_1_2_diff,2.706428050994873,134.0,6280.04638671875
lag_3w,2.6972434520721436,384.0,13423.1259765625
lag_1_2_ratio,2.696162700653076,403.0,9015.654296875
rolling_std_4w,2.6497857570648193,368.0,6330.5517578125
lag_4w,2.451056480407715,266.0,4086.145751953125
holiday_x_food,2.429530143737793,3.0,946.70556640625
lag_8w,2.320298910140991,290.0,4629.45361328125
lag_2w,2.276181936264038,267.0,7005.06591796875
avg_price,2.1684072017669678,692.0,3669.866943359375
year,2.1642889976501465,82.0,2926.882568359375
lag_1w,2.0803065299987793,325.0,7764.12841796875
ramadan_x_italian,1.9319967031478882,6.0,3053.183349609375
ramadan_x_japanese,1.737573266029358,3.0,3138.0390625
holiday_x_bakery,1.4775235652923584,2.0,821.265380859375
holiday_x_dessert,1.2378244400024414,8.0,569.353515625
