model,threshold_mode,precision,recall,f1,false_alerts,missed_anomalies,alert_count,alert_rate
CatBoost,balanced_f1,0.9534883720930233,0.9318181818181818,0.9425287356321839,8,12,172,0.01818566293085219
CatBoost,precision_floor_60,0.6450381679389313,0.9602272727272727,0.771689497716895,93,7,262,0.027701416790019032
CatBoost,precision_floor_65,0.6706349206349206,0.9602272727272727,0.7897196261682243,83,7,252,0.02664411080566716
CatBoost,precision_floor_70,0.7813953488372093,0.9545454545454546,0.8593350383631714,47,8,215,0.022732078663565237
Extra Trees,balanced_f1,0.9647058823529412,0.9318181818181818,0.9479768786127167,6,12,170,0.017974201733981815
Extra Trees,precision_floor_60,0.6628787878787878,0.9943181818181818,0.7954545454545454,89,1,264,0.027912877986889406
Extra Trees,precision_floor_65,0.6628787878787878,0.9943181818181818,0.7954545454545454,89,1,264,0.027912877986889406
Extra Trees,precision_floor_70,0.8877005347593583,0.9431818181818182,0.9146005509641874,21,10,187,0.019771621907379997
HistGradientBoosting,balanced_f1,0.9759036144578314,0.9204545454545454,0.9473684210526315,4,14,166,0.017551279340241067
HistGradientBoosting,precision_floor_60,0.6218181818181818,0.9715909090909091,0.7583148558758315,104,5,275,0.029075914569676464
HistGradientBoosting,precision_floor_65,0.6910569105691057,0.9659090909090909,0.8056872037914692,76,6,246,0.02600972721505604
HistGradientBoosting,precision_floor_70,0.751131221719457,0.9431818181818182,0.836272040302267,55,10,221,0.023366462254176358
LightGBM,balanced_f1,0.9640718562874252,0.9147727272727273,0.9387755102040817,6,15,167,0.017657009938676253
LightGBM,precision_floor_60,0.6068965517241379,1.0,0.7553648068669528,114,0,290,0.030661873546204272
LightGBM,precision_floor_65,0.68,0.9659090909090909,0.7981220657276995,80,6,250,0.026432649608796786
LightGBM,precision_floor_70,0.8564102564102564,0.9488636363636364,0.9002695417789758,28,9,195,0.020617466694861492
Logistic Regression,balanced_f1,0.9578313253012049,0.9034090909090909,0.9298245614035088,7,17,166,0.017551279340241067
Logistic Regression,precision_floor_60,0.6028368794326241,0.9659090909090909,0.74235807860262,112,6,282,0.029816028758722773
Logistic Regression,precision_floor_65,0.6550387596899225,0.9602272727272727,0.7788018433179723,89,7,258,0.02727849439627828
Logistic Regression,precision_floor_70,0.7612612612612613,0.9602272727272727,0.8492462311557789,53,7,222,0.023472192852611547
Random Forest,balanced_f1,0.9649122807017544,0.9375,0.9510086455331412,6,11,171,0.018079932332417
Random Forest,precision_floor_60,0.6404494382022472,0.9715909090909091,0.7720090293453724,96,5,267,0.02823006978219497
Random Forest,precision_floor_65,0.6895161290322581,0.9715909090909091,0.8066037735849056,77,5,248,0.026221188411926413
Random Forest,precision_floor_70,0.7625570776255708,0.9488636363636364,0.8455696202531645,52,9,219,0.023155001057305984
XGBoost,balanced_f1,0.99375,0.9034090909090909,0.9464285714285714,1,17,160,0.016916895749629943
XGBoost,precision_floor_60,0.6732283464566929,0.9715909090909091,0.7953488372093023,83,5,254,0.026855572002537534
XGBoost,precision_floor_65,0.7522522522522522,0.9488636363636364,0.8391959798994975,55,9,222,0.023472192852611547
XGBoost,precision_floor_70,0.8106796116504854,0.9488636363636364,0.8743455497382199,39,9,206,0.021780503277648553
