k,bic,aic,silhouette,davies_bouldin,calinski_harabasz
2,-24689278.735605054,-24705177.756614238,0.0034786022076391514,7.560936413266961,128.16299419926534
3,-26624419.38894639,-26648271.52568035,0.038815182621104095,5.398576232120227,235.37264163320347
4,-32444808.903891813,-32476614.156350546,-0.0048590961630890885,6.111464340676677,280.4516980242925
5,-35042743.406224646,-35082501.774408154,0.0011434024968865189,5.891667515859823,265.3439880727731
6,-36512614.40381089,-36560325.88771917,-0.036158993986434844,9.197525649382255,157.4539101958496
7,-38235593.33917634,-38291257.9388094,-0.05300235372216515,9.88274000738718,104.800037700843
8,-39424150.56579105,-39487768.28114888,-0.04559370496367881,8.701063620547519,142.54165090726792
9,-40152543.46844305,-40224114.29952566,-0.03211388084613212,7.984809853656888,164.87327662847147
10,-40311651.723177135,-40391175.66998452,-0.03642486185079832,10.50846303261062,163.78071459798323
