rfm_segment,customers,avg_recency,avg_frequency,total_revenue,avg_monetary,avg_rfm_score
Champions,2728,60.10960410557185,13.577712609970675,991652.09,363.50883064516125,13.859604105571847
Lost / Hibernating,2625,788.3017142857143,1.384,79279.65,30.201771428571426,4.068190476190476
Loyal Customers,1054,213.72106261859582,8.444022770398481,197698.49,187.569724857685,11.40607210626186
Potential Loyalists,992,228.9616935483871,3.9778225806451615,118606.38,119.56288306451613,9.695564516129032
Others,902,560.3924611973392,3.1507760532150777,73477.41,81.46054323725056,7.283813747228382
At Risk,804,541.776119402985,4.737562189054726,101838.9,126.66529850746268,8.437810945273633
Need Attention,520,322.78076923076924,1.8423076923076922,19045.13,36.62525,6.167307692307692
New / Promising,368,111.47010869565217,2.1875,18795.83,51.075625,7.934782608695652
Cannot Lose Them,8,745.75,6.625,1487.91,185.98875,9.0
